,name,price,first_name,last_name,above_100
0,William Dixon,109.03727963458523,William,Dixon,True
1,Kristen Horn,262.52465219225206,Kristen,Horn,True
2,Kimberly Chang,187.00725827774068,Kimberly,Chang,True
3,Mary Ball,283.17464763656955,Mary,Ball,True
4,Benjamin Craig,143.8715816881791,Benjamin,Craig,True
5,Cathy Werner,61.508991352851325,Cathy,Werner,False
6,Brandon Bell,48.63730910375835,Brandon,Bell,False
7,Paul Farley,12.389464788592939,Paul,Farley,False
8,Sarah Mcdaniel,151.59544716874203,Sarah,Mcdaniel,True
9,Caroline Anderson,75.62152102993683,Caroline,Anderson,False
10,Carl Jones,147.02940469082753,Carl,Jones,True
11,Scott Lee,244.18565270607758,Scott,Lee,True
12,Kaylee Coleman,17.864270321996845,Kaylee,Coleman,False
13,Charles Parker,215.53728302426862,Charles,Parker,True
14,Susan Hess,38.359970628717974,Susan,Hess,False
15,Kiara Collier,204.18254858412087,Kiara,Collier,True
16,Mr. Scott Martinez,165.8514289408149,Scott,Martinez,True
17,Christopher Ortega,30.301445064472407,Christopher,Ortega,False
18,Michael Russell,243.17249105103508,Michael,Russell,True
19,Dwayne Johnson,287.4932856123935,Dwayne,Johnson,True
20,Patty Smith,180.23442574473592,Patty,Smith,True
21,Deanna Sherman,99.79911841562617,Deanna,Sherman,False
22,Douglas Francis,161.76889080563518,Douglas,Francis,True
23,Vicki Diaz,18.649876721417435,Vicki,Diaz,False
24,Robin Phillips,244.91198356198336,Robin,Phillips,True
25,Travis Rice,141.4988254107795,Travis,Rice,True
26,Ashley Rocha,50.00303730985961,Ashley,Rocha,False
27,Sarah Jacobson,80.48182457363063,Sarah,Jacobson,False
28,Kayla Shannon,98.91531394497848,Kayla,Shannon,False
29,Sean Wang DDS,220.62821774950515,Sean,Wang,True
30,Richard Estrada,49.16869151205603,Richard,Estrada,False
31,Joseph Torres,150.12378419766594,Joseph,Torres,True
32,Kim Jones,18.84343770225838,Kim,Jones,False
33,Melissa Tanner,269.18402994297986,Melissa,Tanner,True
34,Jackson Cline,64.31251721074351,Jackson,Cline,False
35,Sonya Foster,296.2155012166741,Sonya,Foster,True
36,Allen Williams,15.390831703593,Allen,Williams,False
37,Mr. Thomas Rivera,95.22843715592121,Thomas,Rivera,False
38,Jamie Silva,296.82440753934657,Jamie,Silva,True
39,Kathleen Moore,92.50052419128963,Kathleen,Moore,False
